"Count","DofW","Site","Intervention","ZeroCal","Sugary","Juice100","Ojuice","Sports","Total"
113,4,"chop","preint",789,617,210,129,75,5148
114,5,"chop","preint",780,555,195,104,65,4847
115,6,"chop","preint",269,288,164,65,21,1909
116,7,"chop","preint",311,268,109,64,29,1775
117,1,"chop","preint",750,581,175,109,71,4895
118,2,"chop","preint",790,618,202,112,73,5184
119,3,"chop","preint",530,460,221,90,61,3553
120,4,"chop","preint",710,480,305,145,54,4360
121,5,"chop","preint",784,627,232,123,86,5106
122,6,"chop","preint",217,205,76,53,25,1419
123,7,"chop","preint",220,205,89,41,18,1355
124,1,"chop","cal",863,704,236,152,60,5147
125,2,"chop","cal",812,645,210,101,68,5350
126,3,"chop","cal",878,710,214,115,79,5614
127,4,"chop","cal",887,685,224,123,79,5543
128,5,"chop","cal",851,672,210,129,73,5269
129,6,"chop","cal",230,194,85,44,24,1451
130,7,"chop","cal",204,212,85,57,19,1406
131,1,"chop","cal",806,646,199,108,73,5056
132,2,"chop","cal",823,695,240,124,81,5638
133,3,"chop","cal",879,654,231,122,84,5603
134,4,"chop","cal",775,681,215,143,58,5385
135,5,"chop","cal",667,576,216,128,52,4892
136,6,"chop","cal",222,175,89,37,9,1398
137,7,"chop","cal",216,174,68,40,20,1347
138,1,"chop","cal",770,619,210,116,56,4901
139,2,"chop","cal",757,621,212,99,58,5331
140,3,"chop","cal",785,687,228,137,73,5672
141,4,"chop","cal",870,669,230,124,61,5414
142,5,"chop","cal",757,569,244,124,68,5018
143,6,"chop","cal",198,176,72,37,26,1293
144,7,"chop","cal",184,177,69,30,12,1234
145,1,"chop","wash",784,543,193,93,69,4849
146,2,"chop","wash",712,617,203,118,66,4934
147,3,"chop","wash",756,610,200,102,76,5231
148,4,"chop","wash",846,615,235,132,84,5339
149,5,"chop","wash",777,649,224,120,72,5190
150,6,"chop","wash",235,190,101,38,28,1487
151,7,"chop","wash",207,170,84,28,30,1331
152,1,"chop","excer",746,622,197,85,70,4962
153,2,"chop","excer",815,599,200,101,66,5118
154,3,"chop","excer",773,601,220,121,73,5053
155,4,"chop","excer",863,619,208,125,65,5111
156,5,"chop","excer",748,587,229,104,64,4680
157,6,"chop","excer",219,208,78,35,30,1424
158,7,"chop","excer",185,164,78,36,14,1294
159,1,"chop","excer",761,579,181,108,80,5109
160,2,"chop","excer",833,592,186,107,56,5415
161,3,"chop","excer",800,520,205,109,60,5207
162,4,"chop","excer",909,645,178,104,61,5392
163,5,"chop","excer",771,570,220,118,63,5470
164,6,"chop","excer",256,192,85,35,17,1472
165,7,"chop","excer",201,170,87,29,17,1355
166,1,"chop","excer",821,629,192,88,65,5080
167,2,"chop","excer",771,552,206,118,57,5317
168,3,"chop","excer",833,616,208,128,58,5252
169,4,"chop","excer",778,553,185,127,83,4780
170,5,"chop","excer",638,534,177,117,61,4159
171,6,"chop","excer",213,180,82,44,12,1321
172,7,"chop","excer",135,116,62,32,20,1047
173,1,"chop","wash",716,539,155,89,62,4476
174,2,"chop","wash",882,583,164,108,80,4961
175,3,"chop","wash",856,612,184,141,64,5128
176,4,"chop","wash",827,599,209,123,81,5248
177,5,"chop","wash",735,598,200,119,72,5072
178,6,"chop","wash",273,203,100,60,25,1491
179,7,"chop","wash",264,193,75,40,24,1404
180,1,"chop","both",758,591,179,99,72,4927
181,2,"chop","both",809,570,187,111,53,5608
182,3,"chop","both",795,602,185,112,77,5312
183,4,"chop","both",811,576,185,109,60,5310
184,5,"chop","both",767,583,202,114,71,5021
185,6,"chop","both",235,164,88,36,21,1399
186,7,"chop","both",193,137,70,35,10,1359
187,1,"chop","both",800,579,192,107,64,5094
188,2,"chop","both",800,593,179,112,67,5346
189,3,"chop","both",793,653,184,124,82,5367
190,4,"chop","both",906,654,201,108,75,5475
191,5,"chop","both",779,509,203,139,50,5008
192,6,"chop","both",240,193,82,42,17,1449
193,7,"chop","both",185,172,82,38,20,1427
194,1,"chop","both",800,587,200,111,61,5411
195,2,"chop","both",823,568,192,108,74,5453
196,3,"chop","both",887,638,187,119,65,5521
197,4,"chop","both",887,613,182,110,63,5393
198,5,"chop","both",772,510,188,112,58,4733
199,6,"chop","both",244,209,85,47,27,1412
200,7,"chop","both",232,184,75,40,19,1395
201,1,"chop","wash",794,520,149,91,63,5098
202,2,"chop","wash",848,544,177,103,60,5121
203,3,"chop","wash",819,584,166,114,65,5243
204,4,"chop","wash",843,604,169,110,64,5252
205,5,"chop","wash",696,517,177,99,70,4541
206,6,"chop","wash",220,216,76,50,26,1385
207,7,"chop","wash",197,183,83,29,16,1327
208,1,"chop","follow",778,493,147,85,43,4740
209,2,"chop","follow",905,608,199,122,63,5631
210,3,"chop","follow",853,605,206,96,63,5606
211,4,"chop","follow",853,613,200,111,73,5423
212,5,"chop","follow",750,563,185,89,48,4819
213,6,"chop","follow",178,161,59,34,15,1246
214,7,"chop","follow",195,164,76,35,15,1349
215,1,"chop","follow",768,501,155,111,59,4850
216,2,"chop","follow",813,550,179,81,60,5474
217,3,"chop","follow",807,564,172,114,66,5423
218,4,"chop","follow",845,623,198,125,62,5231
219,5,"chop","follow",798,579,201,108,83,4842
220,6,"chop","follow",172,175,57,34,15,1328
221,7,"chop","follow",193,154,63,40,12,1384
14,3,"HF","preint",134,259,,,,2274
15,4,"HF","preint",207,183,,,,2405
16,5,"HF","preint",154,246,,,,2181
17,6,"HF","preint",55,77,,,,690
18,7,"HF","preint",53,53,,,,621
19,1,"HF","preint",159,224,,,,2171
20,2,"HF","preint",206,138,,,,2455
21,3,"HF","preint",252,198,,,,2471
22,4,"HF","dismes",260,161,,,22,2434
23,5,"HF","dismes",233,190,,,22,2350
24,6,"HF","dismes",58,75,,,10,731
25,7,"HF","dismes",48,51,,,8,622
26,1,"HF","dismes",194,181,,,14,2158
27,2,"HF","dismes",223,191,,,17,2266
28,3,"HF","dismes",259,172,,,19,2305
29,4,"HF","dismes",254,166,,,17,2318
30,5,"HF","dismes",252,178,,,10,2255
31,6,"HF","dismes",49,62,,,7,643
32,7,"HF","dismes",59,60,,,4,632
33,1,"HF","dismes",174,183,,,15,2261
34,2,"HF","dismes",209,206,,,18,2463
35,3,"HF","dismes",211,194,,,19,2243
36,4,"HF","dismes",214,169,,,19,2461
37,5,"HF","dismes",250,168,,,16,2340
38,6,"HF","dismes",53,59,,,7,664
39,7,"HF","dismes",53,48,,,3,634
40,1,"HF","dismes",211,210,,,4,2190
41,2,"HF","dismes",245,185,,,13,2270
42,3,"HF","dismes",221,165,,,12,2139
43,4,"HF","wash",36,38,,,7,562
44,5,"HF","wash",133,90,,,11,1276
45,6,"HF","wash",44,54,,,6,555
46,7,"HF","wash",46,57,,,3,556
47,1,"HF","wash",227,137,,,24,2193
48,2,"HF","wash",209,188,,,18,2426
49,3,"HF","wash",213,173,,,23,2314
50,4,"HF","dis ",193,203,,,15,2492
51,5,"HF","dis ",206,190,,,18,2203
52,6,"HF","dis ",55,54,,,2,692
53,7,"HF","dis ",67,46,,,7,657
54,1,"HF","dis ",218,145,,,24,2200
55,2,"HF","dis ",247,165,,,20,2343
56,3,"HF","dis ",269,177,,,18,2256
57,4,"HF","dis ",219,185,,,21,2430
58,5,"HF","dis ",231,193,,,15,2252
59,6,"HF","dis ",58,61,,,9,635
60,7,"HF","dis ",63,64,,,4,604
61,1,"HF","dis ",276,181,,,14,2210
62,2,"HF","dis ",290,183,,,15,2266
63,3,"HF","dis ",263,166,,,18,2206
64,4,"HF","dis ",236,168,,,23,2239
65,5,"HF","dis ",204,181,,,15,1991
66,6,"HF","dis ",74,50,,,4,596
67,7,"HF","dis ",49,67,,,2,539
68,1,"HF","dis ",213,170,,,10,1972
69,2,"HF","dis ",194,147,,,12,2026
70,3,"HF","dis ",203,155,,,13,1826
71,4,"HF","wash",99,62,,,4,1077
72,5,"HF","wash",15,18,,,2,920
73,6,"HF","wash",40,26,,,2,479
74,7,"HF","wash",52,44,,,3,586
75,1,"HF","wash",172,158,,,21,1978
76,2,"HF","wash",170,220,,,12,2024
77,3,"HF","wash",156,207,,,12,1940
78,4,"HF","wash2",123,111,,,13,1421
79,5,"HF","wash2",52,48,,,6,506
80,6,"HF","wash2",27,65,,,9,621
81,7,"HF","wash2",52,51,,,5,580
82,1,"HF","wash2",201,162,,,8,1994
83,2,"HF","wash2",192,178,,,15,2222
84,3,"HF","wash2",233,143,,,13,2207
85,4,"HF","follow",223,179,,,14,2321
86,5,"HF","follow",184,198,,,25,2244
87,6,"HF","follow",61,40,,,5,649
88,7,"HF","follow",55,65,,,4,606
89,1,"HF","follow",208,168,,,15,2122
90,2,"HF","follow",185,236,,,19,2290
91,3,"HF","follow",240,191,,,16,2351
92,4,"HF","follow",193,195,,,17,2315
93,5,"HF","follow",184,169,,,15,2164
94,6,"HF","follow",64,56,,,7,652
95,7,"HF","follow",42,58,,,6,627
96,1,"HF","follow",208,152,,,13,2061
97,2,"HF","follow",207,204,,,20,2240
98,3,"HF","follow",191,226,,,15,2228
99,4,"HF","follow",209,207,,,16,2314
100,5,"HF","follow",167,232,,,19,2182
101,6,"HF","follow",13,80,,,6,644
102,7,"HF","follow",16,95,,,4,587
103,1,"HF","follow",156,196,,,16,2054
104,2,"HF","follow",170,218,,,16,2216
105,3,"HF","follow",173,218,,,11,2276
106,4,"HF","follow",170,231,,,22,2304
107,5,"HF","follow",199,198,,,16,2232
108,6,"HF","follow",65,82,,,4,720
109,7,"HF","follow",40,106,,,5,684
110,1,"HF","preint",163,179,,,16,2129
111,2,"HF","preint",172,226,,,21,2273
112,3,"HF","preint",181,221,,,13,2288
113,4,"HF","preint",138,189,,,11,2406
114,5,"HF","preint",195,238,,,25,2465
115,6,"HF","preint",46,89,,,7,757
116,7,"HF","preint",68,51,,,4,627
117,1,"HF","preint",149,197,,,12,2033
118,2,"HF","preint",165,194,,,17,2337
119,3,"HF","preint",160,164,,,17,2119
120,4,"HF","preint",198,188,,,16,2369
121,5,"HF","preint",183,204,,,13,2196
122,6,"HF","preint",26,97,,,6,636
123,7,"HF","preint",42,41,,,4,577
124,1,"HF","cal",164,213,,,9,2110
125,2,"HF","cal",129,220,,,7,2300
126,3,"HF","cal",125,231,,,11,2186
127,4,"HF","cal",192,224,,,20,2378
128,5,"HF","cal",200,204,,,16,2260
129,6,"HF","cal",20,67,,,7,649
130,7,"HF","cal",47,72,,,11,701
131,1,"HF","cal",185,164,,,14,2164
132,2,"HF","cal",150,231,,,10,2208
133,3,"HF","cal",209,235,,,19,2389
134,4,"HF","cal",155,220,,,18,2434
135,5,"HF","cal",126,251,,,13,2242
136,6,"HF","cal",65,62,,,10,680
137,7,"HF","cal",48,77,,,2,634
138,1,"HF","cal",161,223,,,19,2223
139,2,"HF","cal",163,227,,,10,2370
140,3,"HF","cal",149,263,,,12,2332
141,4,"HF","cal",144,277,,,13,2442
142,5,"HF","cal",231,208,,,15,2266
143,6,"HF","cal",30,93,,,6,736
144,7,"HF","cal",24,91,,,5,672
145,1,"HF","wash",192,196,,,22,2209
146,2,"HF","wash",127,269,,,16,2254
147,3,"HF","wash",137,252,,,19,2260
148,4,"HF","wash",136,223,,,16,2244
149,5,"HF","wash",105,260,,,10,2238
150,6,"HF","wash",81,56,,,7,717
151,7,"HF","wash",13,80,,,5,600
152,1,"HF","both",160,213,,,11,2159
153,2,"HF","both",85,246,,,11,2175
154,3,"HF","both",104,249,,,5,2122
155,4,"HF","both",115,225,,,10,2371
156,5,"HF","both",151,215,,,13,2137
157,6,"HF","both",10,93,,,5,672
158,7,"HF","both",17,109,,,2,629
159,1,"HF","both",122,205,,,15,2195
160,2,"HF","both",115,242,,,18,2312
161,3,"HF","both",137,235,,,21,2151
162,4,"HF","both",150,200,,,11,2292
163,5,"HF","both",95,236,,,8,2196
164,6,"HF","both",54,59,,,6,644
165,7,"HF","both",54,59,,,6,650
166,1,"HF","both",104,222,,,8,2135
167,2,"HF","both",120,256,,,17,2174
168,3,"HF","both",134,173,,,19,2289
169,4,"HF","both",81,221,,,8,2306
170,5,"HF","both",122,229,,,9,2096
171,6,"HF","both",40,60,,,2,641
172,7,"HF","both",36,61,,,0,537
173,1,"HF","wash",147,219,,,11,2068
174,2,"HF","wash",95,273,,,19,2266
175,3,"HF","wash",110,249,,,18,2220
176,4,"HF","wash",81,228,,,19,2246
177,5,"HF","wash",120,232,,,14,2118
178,6,"HF","wash",45,50,,,4,611
179,7,"HF","wash",53,64,,,6,608
180,1,"HF","excer",131,197,,,6,2095
181,2,"HF","excer",120,243,,,17,2401
182,3,"HF","excer",142,222,,,17,2259
183,4,"HF","excer",122,219,,,13,2277
184,5,"HF","excer",189,225,,,17,2324
185,6,"HF","excer",48,83,,,6,698
186,7,"HF","excer",22,70,,,5,635
187,1,"HF","excer",167,141,,,25,2210
188,2,"HF","excer",128,221,,,16,2221
189,3,"HF","excer",210,162,,,162,2133
190,4,"HF","excer",121,253,,,15,2483
191,5,"HF","excer",114,204,,,15,2112
192,6,"HF","excer",75,45,,,7,658
193,7,"HF","excer",53,39,,,4,555
194,1,"HF","excer",100,188,,,14,2245
195,2,"HF","excer",136,246,,,10,
196,3,"HF","excer",166,204,,,15,2386
197,4,"HF","excer",127,212,,,15,2304
198,5,"HF","excer",146,232,,,10,2075
199,6,"HF","excer",24,73,,,5,656
200,7,"HF","excer",16,93,,,7,575
201,1,"HF","wash",130,239,,,15,2036
202,2,"HF","wash",142,246,,,16,2128
203,3,"HF","wash",152,244,,,17,2223
204,4,"HF","wash",101,193,,,17,2209
205,5,"HF","wash",106,250,,,10,2136
